,Unnamed: 0,code_en,sector_spanish,code_es,sector_english,creative_nesta_2016,creative_refined,creative_sector,has_creative,code_int
155,155,711121,Compañías de danza del sector privado,711121,"Dance companies, private sector",1.0,1.0,music_performing_arts,1,711121
156,156,711122,Compañías de danza del sector público,711122,"Dance companies, public sector",1.0,1.0,music_performing_arts,1,711122
157,157,71113,Cantantes y grupos musicalesT,71113,Singers and musical groupsT,1.0,1.0,music_performing_arts,1,71113
158,158,711131,Cantantes y grupos musicales del sector privado,711131,"Singers and musical groups, private sector",1.0,1.0,music_performing_arts,1,711131
159,159,711132,Grupos musicales del sector público,711132,"Singers and musical groups, public sector",1.0,1.0,music_performing_arts,1,711132
160,160,71119,Otras compañías y grupos de espectáculos artísticosT,71119,Other performing arts companies and groupsT,1.0,1.0,music_performing_arts,1,71119
161,161,711191,Otras compañías y grupos de espectáculos artísticos del sector privado,711191,"Other performing arts companies and groups, private sector",1.0,1.0,music_performing_arts,1,711191
162,162,711192,Otras compañías y grupos de espectáculos artísticos del sector público,711192,"Other performing arts companies and groups, public sector",1.0,1.0,music_performing_arts,1,711192
163,163,7112,Deportistas y equipos deportivos profesionalesT,7112,Professional athletes and sports teamsT,1.0,,music_performing_arts,1,7112
164,164,71121,Deportistas y equipos deportivos profesionalesT,71121,Professional athletes and sports teamsT,1.0,,music_performing_arts,1,71121
165,165,711211,Deportistas profesionales,711211,Professional athletes,1.0,,music_performing_arts,1,711211
166,166,711212,Equipos deportivos profesionales,711212,Professional sports teams,1.0,,music_performing_arts,1,711212
167,167,7113,"Promotores de espectáculos artísticos, culturales, deportivos y similaresT",7113,"Promoters of performing arts, sports and similar eventsT",1.0,1.0,music_performing_arts,1,7113
168,168,71131,"Promotores de espectáculos artísticos, culturales, deportivos y similares que cuentan con instalaciones para presentarlosT",71131,"Promoters of performing arts, sports and similar events with facilitiesT",1.0,1.0,music_performing_arts,1,71131
169,169,711311,"Promotores del sector privado de espectáculos artísticos, culturales, deportivos y similares que cuentan con instalaciones para presentarlos",711311,"Promoters of performing arts, sports and similar events with facilities, private sector",1.0,1.0,music_performing_arts,1,711311
