,id,name,creative_sector,employee_sizeband,website
67268,900087,SANVAZ DISEÑO,advertising_marketing,0 a 5 personas,WWW.SANVAZDISENO.WIX.COM
67286,982423,SERVICIOS DE IMPRESION: IMPRESSIO,advertising_marketing,0 a 5 personas,WWW.IMPRESSIO.COM.MX
67311,750579,TALLER DE PUBLICIDAD MAKER´S GROUP,advertising_marketing,0 a 5 personas,WWW.MAKERSGROUP.COM.MX
67321,6879803,THE PEPSI BOTTLING GROUP MEXICO,advertising_marketing,0 a 5 personas,WWW.GEPP.COM.MX
67331,857772,WA,advertising_marketing,0 a 5 personas,WWW.W-A.COM.MX
67378,6331317,ADVERTISING AND PROMOTION ,advertising_marketing,51 a 100 personas,WWW.AYP.COM.MX
67408,1267820,ESCENARIO BAJIO,advertising_marketing,0 a 5 personas,WWW.ESCENARIOBAJIO.COM.MX
67414,1273243,FÁBRICA DE ARTÍCULOS PUBLICITARIOS PUBLIDISER,advertising_marketing,11 a 30 personas,WWW.PUBLIDISER.COM
67423,1159544,IDEAS PUBLICIDAD CREATIVIDAD EN MOVIMIENTO,advertising_marketing,0 a 5 personas,WWW.IDEASPUBLICIDAD.COM.MX
67425,1355235,IMAGEN EN ROTULACIÓN,advertising_marketing,0 a 5 personas,WWW.IMAGENENROTULACION.COM.MX
67431,1144464,IMPRENTA Y PUBLICIDAD AQUI TOLOGO,advertising_marketing,6 a 10 personas,WWW.AQUITULOGO.COM
67522,1350787,TALLER DE SERIGRAFÍA MARKETGRAPHIC,advertising_marketing,0 a 5 personas,WWW.MARKETGRAPHIC.COM.MX
67534,6321957,ADVERTISING AND PROMOTION ,advertising_marketing,11 a 30 personas,WWW.AYP.COM.MX
67555,1506685,IMAGEN Y PUBLICIDAD DE GUERRERO,advertising_marketing,11 a 30 personas,WWW.IPG.COM.MX
67649,1617957,AGENCIA DE PUBLICIDAD ESTUDIO GRÁFICO PÁRRAFO,advertising_marketing,0 a 5 personas,WWW.ESTUDIOPARRAFO.COM
67730,1537810,TALLER DE DISEÑO Y ROTULACION VINBOR,advertising_marketing,0 a 5 personas,WWW.VINBOR_TULA.COM
67743,6321956,ADVERTISING AND PROMOTION ,advertising_marketing,101 a 250 personas,WWW.AYP.COM.MX
67744,1769844,AGENCIA DE PUBLICIDAD IMAGINA PUBLICIDAD,advertising_marketing,0 a 5 personas,WWW.IMAGINAPUBLICIDAD.MX
67745,1666317,AGENCIA DE PUBLLICIDAD,advertising_marketing,0 a 5 personas,WWW.LUMBRERA.MX
67746,6857334,AIKE COMERCIAL,advertising_marketing,0 a 5 personas,WWW.AIKE.COM.MX
67748,1652643,"AMERICA Y CHINA PROMOCIONALES, S.A. DE C.V.",advertising_marketing,11 a 30 personas,WWW.MUNDOGENIUS.COM
67761,1698197,BRUJULA ESTRATEGIA,advertising_marketing,0 a 5 personas,WWW.BRUJULAESTRATEGIA.COM
67762,1666096,BURO 3,advertising_marketing,0 a 5 personas,WWW.BURO3.COM
67767,1656792,CENTRO DE ROTULACION Y DISEÑO IL VINILO,advertising_marketing,0 a 5 personas,WWW.ILVINILO.COM.MX
67774,1838721,CREATIVOS RD,advertising_marketing,0 a 5 personas,WWW.CREATIVOSRD.COM
